Date     ,ActiveCal,Exercise,Flights,HeartRate,Max Heart,Avg Heart,RestHeart,StepCount,Distance
2021-12-26,795.75,58,5,52,179,101.24,60,15617,7.63 
2021-12-27,122.38,0,0,64,100,84.99,66.5,2999,1.32 
2021-12-28,440.65,16,0,55,150,81.39,65,7685,4.03 
2021-12-29,332.06,10,1,56,120,74.21,60,4607,2.27 
2021-12-30,702.97,21,2,54,167,98.27,73,11340,5.38 
2021-12-31,392.88,3,0,50,146,77.17,60,3907,1.89 
2022-01-01,374.69,5,0,48,119,73.43,60,4327,2.13 
2022-01-02,881.19,51,0,53,174,93.59,55,5782,2.85 
2022-01-03,346.88,12,3,48,110,72.83,59,4171,2.05 
2022-01-04,1211,93,2,56,178,111.9,65,9020,5.15 
2022-01-05,488.22,5,1,55,124,75.06,60,6476,3.08 
2022-01-06,845.18,47,2,65,171,102.6,72,3935,1.96 
2022-01-07,186.61,1,1,51,122,89.19,65,2737,1.29 
2022-01-08,209.77,2,0,46,112,72.3,60,4018,1.87 
2022-01-09,308.48,23,2,51,143,76.65,56,5336,2.44 
2022-01-10,1096,98,13,55,144,91.16,61,11124,5.51 
2022-01-11,996.93,87,10,42,178,99.81,60,8597,4.24 
2022-01-12,1147,92,8,51,168,92.47,59,12052,5.87 
2022-01-13,681.38,58,9,47,171,80.88,61,9858,5.15 
2022-01-14,1245,89,12,52.28,175,96.89,57,10971,5.3 
2022-01-15,439.15,17,4,53,116,69.51,58,6313,3.05 
2022-01-16,380.23,15,8,49,121,70.27,56,4191,2.07 
2022-01-17,569.07,22,4,42,178,95.48,58,9240,4.39 
2022-01-18,1130,96,15,55,160,93.11,58,9797,4.63 
2022-01-19,1095,69,9,56,185,98.77,62,10488,4.98 
2022-01-20,1115,103,12,48,168,98.63,57,10144,5.17 
2022-01-21,1178,95,8,57,155,96.01,65,9887,5.03 
2022-01-22,695.72,37,17,44,173,86.65,59,10374,5.01 
2022-01-23,487.4,39,6,44,134,76.33,58,8067,3.8 
2022-01-24,1123,92,12,52,186,99.5,60,8881,4.45 
2022-01-25,1127,110,13,57,170,91.33,60,10221,5.05 
2022-01-26,1195,92,11,61,171,99.01,64,10439,5.04 
2022-01-27,621.6,48,10,50,136,75.2,59,9559,4.63 
2022-01-28,1442,102,15,58,189,112.48,62,15514,7.48 
2022-01-29,408.09,24,6,51,146,82.38,68,5952,2.9 
2022-01-30,394.27,23,5,45,197,78.48,63,5871,2.79 
2022-01-31,1207,85,8,47,173,101.36,61,12711,6.02 
2022-02-01,1210,108,18,54,159,91.77,58,9948,4.93 
2022-02-02,1228,116,8,54,155,92.31,55,11616,5.73 
2022-02-03,583.4,46,9,53,126,74.03,56,9787,4.67 
2022-02-04,889.14,72,10,44,120,77.74,60,14561,7.02 
2022-02-05,800.99,44,17,52,174,85.05,62,11343,5.64 
2022-02-06,480.19,38,9,53,120,69.51,55,7476,3.7 
2022-02-07,1163,89,11,56,173,96.5,60,9607,4.6 
2022-02-08,1142,103,13,42,166,91.37,57,9376,4.67 